DATE,MORTGAGE30US
1/1/2007,6.2175
2/1/2007,6.285
3/1/2007,6.156
4/1/2007,6.18
5/1/2007,6.262
6/1/2007,6.6575
7/1/2007,6.695
8/1/2007,6.572
9/1/2007,6.3825
10/1/2007,6.375
11/1/2007,6.208
12/1/2007,6.095
1/1/2008,5.758
2/1/2008,5.9175
3/1/2008,5.97
4/1/2008,5.9175
5/1/2008,6.036
6/1/2008,6.32
7/1/2008,6.426
8/1/2008,6.4775
9/1/2008,6.0375
10/1/2008,6.2
11/1/2008,6.0875
12/1/2008,5.286
1/1/2009,5.0475
2/1/2009,5.13
3/1/2009,5.0025
4/1/2009,4.81
5/1/2009,4.8575
6/1/2009,5.42
7/1/2009,5.222
8/1/2009,5.1925
9/1/2009,5.0575
10/1/2009,4.952
11/1/2009,4.875
12/1/2009,4.93
1/1/2010,5.03
2/1/2010,4.99
3/1/2010,4.9675
4/1/2010,5.098
5/1/2010,4.8875
6/1/2010,4.7375
7/1/2010,4.564
8/1/2010,4.4275
9/1/2010,4.346
10/1/2010,4.225
11/1/2010,4.3
12/1/2010,4.714
1/1/2011,4.755
2/1/2011,4.9525
3/1/2011,4.836
4/1/2011,4.84
5/1/2011,4.6375
6/1/2011,4.51
7/1/2011,4.545
8/1/2011,4.27
9/1/2011,4.106
10/1/2011,4.0675
11/1/2011,3.9925
12/1/2011,3.958
1/1/2012,3.915
2/1/2012,3.89
3/1/2012,3.954
4/1/2012,3.91
5/1/2012,3.798
6/1/2012,3.675
7/1/2012,3.55
8/1/2012,3.602
9/1/2012,3.4975
10/1/2012,3.3825
11/1/2012,3.352
12/1/2012,3.345
1/1/2013,3.414
2/1/2013,3.5325
3/1/2013,3.565
4/1/2013,3.445
5/1/2013,3.536
6/1/2013,4.07
7/1/2013,4.37
8/1/2013,4.456
9/1/2013,4.49
10/1/2013,4.192
11/1/2013,4.255
12/1/2013,4.4575
1/1/2014,4.432
2/1/2014,4.3025
3/1/2014,4.3425
4/1/2014,4.3375
5/1/2014,4.192
6/1/2014,4.1625
7/1/2014,4.13
8/1/2014,4.115
9/1/2014,4.1625
10/1/2014,4.036
11/1/2014,3.9975
12/1/2014,3.864
1/1/2015,3.67
2/1/2015,3.71
3/1/2015,3.77
4/1/2015,3.672
5/1/2015,3.84
6/1/2015,3.9825
7/1/2015,4.046
8/1/2015,3.905
9/1/2015,3.89
10/1/2015,3.796
11/1/2015,3.9425
12/1/2015,3.964
1/1/2016,3.8725
2/1/2016,3.66
3/1/2016,3.694
4/1/2016,3.605
5/1/2016,3.6
6/1/2016,3.568
7/1/2016,3.44
8/1/2016,3.435
9/1/2016,3.46
10/1/2016,3.47
11/1/2016,3.77
12/1/2016,4.198
1/1/2017,4.15
2/1/2017,4.1675
3/1/2017,4.196
4/1/2017,4.045
5/1/2017,4.01
6/1/2017,3.904
7/1/2017,3.9675
8/1/2017,3.88
9/1/2017,3.805
10/1/2017,3.895
11/1/2017,3.922
12/1/2017,3.95
1/1/2018,4.0325
2/1/2018,4.33
3/1/2018,4.444
4/1/2018,4.4675
5/1/2018,4.586
6/1/2018,4.57
7/1/2018,4.5275
8/1/2018,4.55
9/1/2018,4.6275
10/1/2018,4.83
11/1/2018,4.866
12/1/2018,4.6375
1/1/2019,4.464
2/1/2019,4.37
3/1/2019,4.265
4/1/2019,4.1425
5/1/2019,4.072
6/1/2019,3.8025
7/1/2019,3.765
8/1/2019,3.616
9/1/2019,3.605
10/1/2019,3.688
11/1/2019,3.695
12/1/2019,3.72
1/1/2020,3.624
2/1/2020,3.465
3/1/2020,3.45
4/1/2020,3.306
5/1/2020,3.2325
6/1/2020,3.1625
7/1/2020,3.026666667
